title,author,date,topic,classified_content
How low will it go … an updated look at forecast for ‘Market Demand’ in VIC and SA on Thursday 1st January 2026,Paul McArdle,31-12-2025 10:08:00 AM,2025-12-31,"The summary of the news ""How low will it go … an updated look at forecast for ‘Market Demand’ in VIC and SA on Thursday 1st January 2026"" posted at 31-12-2025 10:08:00 AM is: The article reports updated AEMO forecasts showing extremely low market demand in Victoria and South Australia on 1 January 2026, with Victoria potentially falling below 1,200 MW (a new record low) and South Australia dipping to -257 MW at 13:30, triggering Minimum System Load (MSL2) market notices. This is driven by a surge in residential battery installations (estimated 155,000 systems in six months) after a federal government subsidy scheme began on 1 July 2025, combined with record rooftop solar penetration, which together reduce daytime grid demand and risk system instability. The AEMO is seeking market responses and may need to intervene. Its relevance level is: Level 1. Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: 1 January 2026 (Thursday), from 11:00 to 14:30 in SA and 12:30 to 13:30 in VIC, with potential intervention before 07:00 (SA) and 11:30 (VIC) on that day. Its root_cause is: Rapid uptake of residential battery systems (fueled by government subsidy) and high rooftop solar generation, causing demand to fall below minimum system load thresholds, threatening secure grid operation. Its accident scale is: Unknown (no physical accident, but a forecast operational risk). Its dates (if different from the main date; if the same, repeat the same date) is: 01-01-2026. Its affected region is: Victoria and South Australia (within the National Electricity Market). Its affected key users is: AEMO (market operator), electricity market participants (generators, retailers), residential customers with solar and batteries. Its cause type is: Policy-driven demand reduction and renewable generation surplus. Its causes (a summarized list of cause events) is: 1) Federal government battery subsidy scheme introduced on 1 July 2025 driving a boom in residential battery installations (≈1,300 systems/day by December 2025). 2) High rooftop solar output during midday hours. 3) Both factors reduce net demand (operational demand) to record low levels, triggering MSL2 conditions."
"Sixteen years of spot price for LGC, at the end of 2025",Paul McArdle,30-12-2025 12:32:00 PM,2025-12-30,"The summary of the news ""Sixteen years of spot price for LGC, at the end of 2025"" posted at 30-12-2025 12:32:00 PM is: The article reviews the 16-year history of Large-scale Generation Certificate (LGC) spot prices in Australia's National Electricity Market (NEM) up to the end of 2025, highlighting key milestones such as the Warburton Review (2014), the fulfillment of the Renewable Energy Target (RET) in 2018, a price spike in September 2022, and a subsequent steady decline. It notes the data is accessible via NEMreview and ez2view tools; Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its Timeframe of the event impact on the electricity_market is: Long-term (16 years) but indirect. Its root_cause is: The evolution of renewable energy policy and certificate market dynamics, including the Warburton Review and RET target adjustments. Its accident scale is: Unknown. Its dates is: 30-12-2025 (same as main date). Its affected region is: Australia (National Electricity Market). Its affected key users is: Unknown. Its cause type is: Policy and market review. Its causes is: (1) Warburton Review (2014) leading to RET target cut; (2) Confirmation that RET was met in 2018; (3) Run-up in LGC prices to September 2022 (cause unspecified); (4) Steady decline thereafter."
Belatedly noting the ASL presentation ‘Resilience to Variable Renewable Energy Lulls’,Paul McArdle,30-12-2025 11:12:00 AM,2025-11-05,"The summary of the news ""Belatedly noting the ASL presentation ‘Resilience to Variable Renewable Energy Lulls’"" posted at 30-12-2025 11:12:00 AM is: The article highlights a 27-page presentation and recording by AusEnergy Services Limited (ASL, formerly AEMO Services) delivered on 5 November 2025, modelling future resilience to variable renewable energy lulls under climate change. It provides links to the deck and video for readers.; Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its Timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: Unknown. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 5 November 2025. Its affected region is: Australia (National Electricity Market, inferred). Its affected key users is: Unknown. Its cause type is: Unknown. Its causes is: Unknown."
Belatedly noting ‘Topical Report #2 Australia’s Progress to Net Zero by 2050’,Paul McArdle,30-12-2025 09:02:00 AM,2025-12-11,"The summary of the news ""Belatedly noting ‘Topical Report #2 Australia’s Progress to Net Zero by 2050’"" posted at 30-12-2025 09:02:00 AM is: This article highlights the release of Net Zero Australia’s Topical Report #2, which warns that Australia is likely to miss its 2030 renewable energy target by up to a decade due to insufficient buildout of renewables and firming capacity. It discusses the growing challenge of meeting climate goals and the potential flow-on effects on the ideal closure schedule for coal-fired generation, referencing multiple earlier analyses that point to a gap between aspiration and reality. Its relevance level is: Level 1. Its category is: coal-fired policies. Its Timeframe of the event impact on the electricity_market is: Medium to long-term (2025-2040). Its root_cause is: Slow progress in renewable energy deployment and lack of sufficient firming capacity. Its accident scale is: Not applicable (policy report). Its dates is: 11-12-2025 (report release) and 30-12-2025 (article). Its affected region is: Australia (National Electricity Market). Its affected key users is: Grid operators, energy generators, policymakers, and consumers. Its cause type is: Policy/planning gap. Its causes is: Insufficient renewable energy buildout, lack of replacement dispatchable capacity, disconnect between political targets and actual progress."
Forecast for coincident MSL2 on Thursday 1st January 2026 (in Victoria and South Australia),Paul McArdle,29-12-2025 07:31:00 PM,2025-12-29,"The summary of the news ""Forecast for coincident MSL2 on Thursday 1st January 2026 (in Victoria and South Australia)"" posted at 29-12-2025 07:31:00 PM is: AEMO issued market notices on 29 December 2025 forecasting Minimum System Load (MSL) conditions for Victoria and South Australia on 1 January 2026, with Victoria projected to fall below MSL2 (minimum 959 MW, only 104 MW above MSL3) and South Australia below MSL1 (minimum -246 MW, also below MSL2), indicating an elevated risk of insufficient demand to maintain a secure operating state due to low holiday demand and likely high solar output; Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability (minimum system load conditions). Its Timeframe of the event impact on the electricity_market is: 1 January 2026 (the forecast event day). Its root_cause is: Low forecast demand during the holiday period, exacerbated by high rooftop solar generation. Its accident scale is: Forecast condition with elevated risk of AEMO intervention; no physical accident. Its dates (if different from the main date) is: 01-01-2026. Its affected region is: Victoria and South Australia. Its affected key users is: AEMO, market participants, generators, and system operators. Its cause type is: Operational / market condition. Its causes (a summarized list of cause events) is: [1] Forecast operational demand below MSL thresholds; [2] Holiday-induced low demand (New Year's Day); [3] Likely high penetration of non-scheduled renewable generation (e.g., rooftop solar)."
"Low demand (and Actual MSL1,2) in South Australia on Friday 26th December 2025",Paul McArdle,26-12-2025 01:24:00 PM,2025-12-26,"The summary of the news ""Low demand (and Actual MSL1,2) in South Australia on Friday 26th December 2025"" posted at 26-12-2025 01:24:00 PM is: This article reports that on Thursday 25th December 2025 (Christmas Day) new lowest points for Market Demand were recorded in both Victoria and South Australia, and a NEMwatch snapshot at 12:25 on Friday 26th December 2025 shows continued very low demand in South Australia, with Actual MSL1 and MSL2 levels also notably low. The event is a normal seasonal occurrence driven by public holiday reduced consumption. Its relevance level is: Level 2 (Relevant). Its category is: market reactions. Its Timeframe of the event impact on the electricity_market is: short-term (day-ahead and real-time market conditions on 25-26 December 2025). Its root_cause is: extremely low electricity demand due to the Christmas holiday period. Its accident scale is: None (no accident). Its dates (if different from the main date; if the same, repeat the same date) is: 25-12-2025 and 26-12-2025. Its affected region is: South Australia (primary) and Victoria (mentioned). Its affected key users is: electricity generators, market operators, and grid operators. Its cause type is: normal operational (seasonal/holiday). Its causes (a summarized list of cause events) is: public holiday on 25 December leading to reduced commercial and industrial consumption; continuation of low demand on 26 December due to the extended holiday period."
About directions to Blyth Battery on Thursday 25th December 2025,Paul McArdle,26-12-2025 01:18:00 PM,2025-12-25,"The summary of the news ""About directions to Blyth Battery on Thursday 25th December 2025"" posted at 26-12-2025 01:18:00 PM is: On Christmas Day 2025, the Australian Energy Market Operator (AEMO) issued a direction to Blyth Battery in South Australia to manage an elevated risk of Minimum System Load (MSL) due to extremely low demand. The direction required the battery to remain synchronised and follow dispatch targets from 07:00 to 16:00, with market notices documenting the intervention and its cancellation. The battery’s bidding behaviour showed preparations for the MSL event, including discharging before the direction and then following AEMO’s instructions. The event highlights AEMO’s procedures for maintaining grid stability during low-demand periods on public holidays. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: 25 December 2025, short-term (same day). Its root_cause is: Extremely low electricity demand on Christmas Day leading to insufficient load to maintain a secure operating state, prompting AEMO intervention. Its accident scale is: Not applicable (no accident; controlled direction). Its dates (if different from the main date; if the same, repeat the same date) is: 25-12-2025. Its affected region is: South Australia (SA region). Its affected key users is: Blyth Battery Pty Ltd (operator of Blyth BESS). Its cause type is: Minimum System Load risk / low demand. Its causes (a summarized list of cause events) is: Christmas Day holiday reducing electricity consumption; AEMO detecting elevated risk of insufficient demand; AEMO issuing direction to Blyth Battery to stay synchronised and manage MSL."
Return to service struggles at Vales Point 5,Paul McArdle,26-12-2025 10:20:00 AM,2025-08-26 outage at VP5 following 'turbine vibrations',"The summary of the news ""Return to service struggles at Vales Point 5"" posted at 26-12-2025 10:20:00 AM is: Vales Point 5, a coal-fired unit offline since August 2025 due to turbine vibrations, briefly returned to service on Christmas Day 2025 but remains constrained to low-load operations because of a subsequent auxiliary plant failure, indicating an ongoing struggle to fully restore capacity. Its relevance level is: Level 1 (Most Relevant). Its category is: turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: August 2025 to present (December 2025) and likely continuing. Its root_cause is: Turbine vibrations initially causing the long outage, compounded by auxiliary plant failure during the return-to-service attempt. Its accident scale is: Single unit (Vales Point 5). Its dates are: Outage start – 26-08-2025; first output attempt – 25-12-2025. Its affected region is: New South Wales, Australia (part of the National Electricity Market). Its affected key users are: Electricity consumers in New South Wales (unknown specific users). Its cause type is: Technical failure. Its causes are: 1. Turbine vibrations leading to the August 2025 outage. 2. Auxiliary plant failure limiting post-return capability to low-load operations."
New lowest points for ‘Market Demand’ in both VIC and SA on Thursday 25th December 2025 (Christmas Day),Paul McArdle,25-12-2025 02:06:00 PM,2025-12-25,"The summary of the news ""New lowest points for ‘Market Demand’ in both VIC and SA on Thursday 25th December 2025 (Christmas Day)"" posted at 25-12-2025 02:06:00 PM is: On Christmas Day 2025, both Victoria and South Australia recorded new historical lows in Market Demand, with South Australia reaching -311 MW and Victoria 1,289 MW, driven by cooler weather and high rooftop solar output. The Australian Energy Market Operator (AEMO) issued actual Minimum System Load (MSL) notices: MSL2 for South Australia (demand below -117 MW) and MSL1 for Victoria (demand below 1,695 MW), indicating elevated risk of insufficient demand for secure grid operation. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: Immediate, intraday on 25 December 2025. Its root_cause is: Cooler-than-usual summer weather in southern Australia reducing electricity consumption, combined with high rooftop solar generation leading to negative demand in South Australia. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 25-12-2025. Its affected region is: South Australia and Victoria. Its affected key users is: AEMO, grid operators, and electricity market participants. Its cause type is: Weather-driven demand reduction and high distributed generation. Its causes (a summarized list of cause events) is: 1. Cooler temperatures and snow in Tasmania reducing cooling demand. 2. High rooftop solar output on a public holiday with low industrial demand. 3. Resulting negative demand in SA and low demand in VIC triggering MSL conditions."
Modelling prices in a post-coal NEM: When batteries dominate the market,Paul Bandarian,24-12-2025 01:03:00 PM,Coal Closure,"The summary of the news ""Modelling prices in a post-coal NEM: When batteries dominate the market"" posted at 24-12-2025 01:03:00 PM is: This analysis models the Australian National Electricity Market (NEM) in 2040 after all coal-fired generation has exited, finding that electricity prices can be kept near current levels if solar is structurally supported and batteries become the dominant price-forming technology, with intraday price curves flattening and seasonal price patterns emerging, though scarcity events during wind droughts cause episodic price spikes. Its relevance level is: Level 1 (Most Relevant). Its category is: coal-fired policies. Its timeframe of the event impact on the electricity_market is: 2040 (modelled year) with transition impacts unfolding from present. Its root_cause is: Closure of coal-fired generation in the NEM by 2040. Its accident scale is: Not applicable (modelling study). Its dates (if different from the main date) are: Event date: 2040 (modelled), article date: 24-12-2025. Its affected region is: National Electricity Market (NEM), Australia. Its affected key users are: Electricity consumers, generators, and market operators. Its cause type is: Policy-driven structural change. Its causes (a summarized list of cause events) are: Retirement of all NEM coal plants by 2040, large-scale deployment of solar, wind, and battery storage, reliance on gas for peaking and reserve capacity, and shift in price formation from fossil fuels to battery storage."
