title,author,date,topic,classified_content
More delays in expected Return to Service (RTS) for both Callide C3 and C4,Paul McArdle,29-12-2022 03:16:00 PM,"2021 - 25th May - Callide C4 Explosion, Fire and Outage","The summary of the news ""More delays in expected Return to Service (RTS) for both Callide C3 and C4"" posted at 29-12-2022 03:16:00 PM is: The article discusses the delays in the expected return to service dates for Callide C3 and C4 units, both operated by a joint venture between CS Energy and OzGen. Callide C4 has been offline since an explosion on May 25, 2021, while Callide C3 has been offline since a partial cooling tower failure on October 31, 2022. CS Energy's latest media release adjusts the return to service date for Unit C4 to May 1, 2023, with a phased return to full capacity by October 2023. Unit C3's return has been shifted to May 8, 2023, also with a phased increase in capacity. These delays and the phased return are attributed to transportation delays of critical components and the ongoing assessment of damage by external experts. Its relevance level is: Level 1 (Most Relevant). Its category is: turbine/generator failures. Its timeframe of the event impact on the electricity market is: Potentially extending up to the new expected RTS dates (May to October 2023). Its root cause is: Delays in transporting key components and the need for further assessment and repairs. Its accident scale is: Limited to Callide C3 and C4 units. Its dates are: 29-12-2022 for the news and updated service dates outlined for C3 and C4 (May 1 and 8, 2023, respectively). Its affected region is: Queensland, Australia. Its affected key users are: Regional electricity consumers and businesses dependent on stable electricity supply. Its cause type is: Operational delay and structural failure. Its causes are: Explosion impact on Callide C4 and cooling tower structural issues for Callide C3 causing return to service delays."
Media buzz about compensation for Gladstone Power Station under the coal price cap,Paul McArdle,28-12-2022 03:38:00 PM,"2022 - June - QLD (12th) and NSW, SA and VIC (13th) hit Cumulative Price Cap","The summary of the news ""Media buzz about compensation for Gladstone Power Station under the coal price cap"" posted at 28-12-2022 03:38:00 PM is: The articles discussed the Federal Government's negotiations over compensation related to the coal price cap, focusing on Gladstone Power Station. This complex intervention in the National Electricity Market, particularly during the 2022 energy crisis, involved significant compensation for Rio Tinto and partners. The spotlight on Gladstone highlights the financial dynamics faced by stakeholders amid regulatory changes and market volatility. Its relevance level is: Level 2 (Relevant). Its category is: Market reactions. The timeframe of the event impact on the electricity_market is: June and July 2022. Its root_cause is: Federal Government's coal price cap negotiations and compensation considerations. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) are: Same date. Its affected region is: Queensland, Australia. Its affected key users are: Unknown. Its cause type is: Market and regulatory intervention. Its causes (a summarized list of cause events) are: Federal Government's coal price cap, compensation discussions involving Gladstone Power Station and implicated stakeholders."
Tis the season … for a ‘bomb cyclone’ in North America that stretches wholesale supplies of electricity (and leaves >1M customers off supply with localised network outages),Paul McArdle,24-12-2022 10:39:00 PM,Outside the NEM (including international),"The summary of the news ""Tis the season … for a ‘bomb cyclone’ in North America that stretches wholesale supplies of electricity (and leaves >1M customers off supply with localised network outages)"" posted on 24-12-2022 10:39:00 PM is: A severe 'bomb cyclone' storm hit North America, causing significant disruptions in electricity supply across the United States and Canada. More than 1.5 million households were left without power due to localized network outages, primarily because of downed distribution lines and stretched electricity supplies. This extreme weather event also led to high demand for electricity, triggering alerts of tight supply conditions from regional transmission organizations like PJM, MISO, and SPP. The intensity of the storm, cited as a once-in-40-years event, prompted widespread power conservation calls, load shedding, and emergency alerts to manage demand-supply imbalances. Its relevance level is: Level 1. Its category is: extreme weather. Its timeframe of the event impact on the electricity market is: Immediate, with ongoing impacts as power is restored and systems recover. Its root cause is: Severe winter weather event, known as a 'bomb cyclone,' impacting power infrastructure. Its accident scale is: Over 1.5 million households affected. Its dates are: 24-12-2022. Its affected region is: United States and Canada, with a wide storm affecting extensive areas. Its affected key users are: Residential and commercial electricity consumers. Its cause type is: Natural disaster. Its causes are: Downed power lines due to storm winds, increased electricity demand due to extreme cold, underperformance of wind generation, and subsequent strain on electricity markets and grid operators."
‘NEM Local Temperature Alert’ for Port Augusta on Monday 26th December 2022,Paul McArdle,22-12-2022 04:05:00 PM,Summer 2022-23 in the NEM,"The summary of the news ""'NEM Local Temperature Alert' for Port Augusta on Monday 26th December 2022"" posted at 22-12-2022 04:05:00 PM is: The Australian Energy Market Operator (AEMO) issued a ""NEM Local Temperature Alert"" for Port Augusta, South Australia, forecasting temperatures of 39°C or above on December 26, 2022. This alert is part of a general notice aimed at advising market participants to review and adjust their generator capacity in response to potential heat impacts. Previous alerts for elevated temperatures were issued for various locations including Port Augusta earlier in December. Despite the alert, demand is expected to remain subdued due to the holiday period, though local generation facilities could be affected. This development is in context with the influence of La Niña weather conditions, which have limited the number of alerts. It relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Its timeframe of the event impact on the electricity_market is: Short-term, pertaining to the specific forecast date. Its root_cause is: High temperature alert as per the weather forecast. Its accident scale is: Unknown. Its dates are: December 26, 2022. Its affected region is: Port Augusta, South Australia. Its affected key users are: Electricity Market Participants in the area (e.g., generation units and MNSP converter stations). Its cause type is: Climatic. Its causes is a summarized list of cause events are: High temperatures forecasted to reach or exceed 39°C on December 26, prompting operational review and potential adjustments in generation capacity."
How closely monitoring households’ energy data can unleash their solar outputs and (possibly) make them more money,Richard Bean,22-12-2022 01:09:00 PM,Energy Transition,"The summary of the news ""How closely monitoring households’ energy data can unleash their solar outputs and (possibly) make them more money"" posted at 22-12-2022 01:09:00 PM is: The article discusses a project in Australia aimed at enhancing the solar energy export capabilities of households by closely monitoring energy data. This initiative seeks to address challenges in energy distribution by enabling network operators to manage voltage fluctuations more precisely and allow dynamic energy export limits. The scheme could potentially increase household earnings from solar exports and expedite the transition to renewable energy sources. The data monitoring involves installing devices in households to collect energy metrics at frequent intervals, generating significant data for analysis by the Australian Renewable Energy Agency's Project SHIELD. This project is seen as beneficial for both consumers and network operators in managing distributed energy resources. Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Long-term. Its root_cause is: The need for improved management of the energy distribution network due to increased household solar power generation and the two-way flow of electricity. Its accident scale is: Unknown. Its dates are: 22-12-2022 01:09:00 PM. Its affected region is: Australia. Its affected key users are: Australian households with solar panels. Its cause type is: Operational challenge in energy distribution. Its causes are: Uncertainty and inefficiencies in managing network voltage fluctuations due to household solar energy exports and inadequate visibility into individual household energy data."
Discussion Paper released with respect to adding Emissions Reduction into the NEO,Paul McArdle,20-12-2022 03:46:00 PM,Market Reform,"The summary of the news ""Discussion Paper released with respect to adding Emissions Reduction into the NEO"" posted at 20-12-2022 03:46:00 PM is: The article announces the release of a Consultation Paper aimed at incorporating an emissions reduction objective into the national energy objectives (NEO). This has been a long-discussed topic, and the paper invites submissions via email by the 7th of February 2023; Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: An initiative to modernize energy policy by including emissions reduction as an objective. Its accident scale is: Unknown. Its dates are: 20-12-2022. Its affected region is: Unknown. Its affected key users are: Unknown. Its cause type is: Policy reform. Its causes are: Discussion on including emissions reduction in energy objectives, release of a consultation paper, and call for public submissions."
Kogan Creek returned to service on Tuesday 20th December 2022,Paul McArdle,20-12-2022 12:30:00 PM,Major Outages,"The summary of the news ""Kogan Creek returned to service on Tuesday 20th December 2022"" posted at 20-12-2022 12:30:00 PM is: Kogan Creek Power Station, after an unexpected extended major overhaul due to stator and rotor issues, was returned to service slightly later than expected on the night of December 20, 2022. The return process included a false start on December 19 and a brief offline period on the evening of December 20; it successfully returned online early morning December 21. The complexity of managing the return after long outages often results in such operational glitches. Its relevance level is: Level 1. Its category is: Turbine/generator failures. Timeframe of the event impact on the electricity_market is: Immediate to short-term. Its root_cause is: Unexpected stator and rotor issues. Its accident scale is: Unknown. Its dates are: 20-12-2022 and 21-12-2022. Its affected region is: Unknown. Its affected key users are: Unknown. Its cause type is: Operational. Its causes are: Extended major overhaul, unexpected stator and rotor issues, false start during return to service."
Return to service expectation for Callide C3 is (still) 11th February 2023,Paul McArdle,20-12-2022 12:20:00 PM,2022-10-31 Callide C3 cooling tower failure,"The summary of the news ""Return to service expectation for Callide C3 is (still) 11th February 2023"" posted at 20-12-2022 12:20:00 PM is: The expected return-to-service date for the Callide C3 unit remains set for 11th February 2023, following the cooling tower failure reported previously. This information is consistent with updates noted in November 2022 and reflects the latest data from the 'MT PASA DUID Availability' widget in ez2view; Its relevance level is: Level 1 (Most Relevant). Its category is: Turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: Likely to affect pricing until the expected return date in February 2023. Its root_cause is: Cooling tower failure at Callide C3. Its accident scale is: Unknown. Its dates are: 20-12-2022; return to service expected 11th February 2023. Its affected region is: Unknown. Its affected key users are: Unknown. Its cause type is: Equipment failure. Its causes are: Equipment failure leading to delayed return to service."
Callide C4 generator transformer delivered to Callide Power Station,Paul McArdle,20-12-2022 12:11:00 PM,"2021 - 25th May - Callide C4 Explosion, Fire and Outage","The summary of the news ""Callide C4 generator transformer delivered to Callide Power Station"" posted at 20-12-2022 12:11:00 PM is: A significant milestone in the recovery from the Callide C4 Catastrophe, which occurred on 25th May 2021, has been achieved with the arrival of a replacement generator transformer at the Callide Power Station. The transformer was transported from the Port of Gladstone to the power station on the evening of 16th December. The expected return to service date for Unit C4 is projected for April 2023, specifically 7th April, marking a prolonged restoration period following the explosion. The cause of the explosion is still under investigation, with no engineer's report released yet. Its relevance level is: Level 1 (Most Relevant). Its category is: turbine/generator failures. Its timeframe of the event impact on the electricity_market is: Expected until April 2023. Its root_cause is: Generator transformer failure. Its accident scale is: Unknown. Its dates are: 20-12-2022 for the news update and 16-12-2022 for the arrival of the transformer. Its affected region is: Callide Power Station, Queensland, Australia. Its affected key users are: Unknown. Its cause type is: Technical failure. Its causes are: Explosion, fire, and subsequent outage of the Callide C4 unit."
Victorian minimum demand drops lower on Sunday 18th December 2022,Paul McArdle,18-12-2022 08:42:00 PM,Summer 2022-23 in the NEM,"The summary of the news ""Victorian minimum demand drops lower on Sunday 18th December 2022"" posted at 18-12-2022 08:42:00 PM is: Demand for electricity in Victoria hit a record low on Sunday, 18th December 2022, with 'Market Demand' reaching 1,977MW and 'Operational Demand' dropping to 2,195MW, marking a significant reduction compared to previous lows recorded in October. The Australian Energy Market Operator (AEMO) confirmed these figures on social media platforms subsequently.; Its relevance level is: Level 3 (Less Relevant). Its category is: Residential satisfaction. Timeframe of the event impact on the electricity_market is: Short-term. Its root_cause is: Unspecified reduction in electricity demand, possibly due to cooler weather conditions or changes in consumption patterns. Accident scale is: Unknown. Its dates are: 18-12-2022. Its affected region is: Victoria, Australia. Its affected key users are: General residential users and electricity consumers. Its cause type is: Demand fluctuation. Its causes are: Lower-than-expected electricity demand in the region."
How common are islandings and transmission tower failures in the NEM?,Dan Lee,16-12-2022 02:47:00 AM,2022-10-14 major TAS loss of load,"The summary of the news ""How common are islandings and transmission tower failures in the NEM?"" posted at 16-12-2022 02:47:00 AM is: The article discusses the recent challenges faced by the National Electricity Market (NEM) due to transmission tower failures, highlighting two key incidents in South Australia and Tasmania. In South Australia, thunderstorms and strong winds caused a transmission tower near Tailem Bend to collapse, leading to frequency islanding and significant market costs. In Tasmania, a landslide displaced a tower, affecting the transmission backbone. These incidents underscore the vulnerabilities in the aging transmission network and the impact of extreme weather on system security and electricity prices. Future risks could be mitigated through infrastructure upgrades and better maintenance practices.; Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its Timeframe of the event impact on the electricity_market is: Immediate (e.g., price spikes and market costs arose quickly after the events). Its root_cause is: Transmission tower failures due to natural events (thunderstorms and landslides). Its accident scale is: Regional (affecting specific areas within the NEM like South Australia and Tasmania). Its dates is: 16-12-2022. Its affected region is: South Australia and Tasmania. Its affected key users is: Regional electricity consumers and system operators in the affected areas. Its cause type is: Natural events. Its causes is: Thunderstorms, strong winds, and a landslide."
AER published Wholesale Market Performance Report for 2022,Paul McArdle,15-12-2022 01:14:00 PM,AER Wholesale Market Performance Report,"The summary of the news ""AER published Wholesale Market Performance Report for 2022"" posted at 15-12-2022 01:14:00 PM is: The Australian Energy Regulator (AER) released its 'Wholesale electricity market performance report' for 2022, detailing methods, assumptions, and results of LCOE and LCOS modelling, along with approaches to economic withholding. The publication is extensive, with accompanying reports highlighting ongoing market reforms required for a transition to net zero emissions. It aims to provide a comprehensive analysis of the electricity market's performance in 2022. Its relevance level is: Level 3. Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: As part of its annual reporting on electricity market performance, the AER aims to provide a detailed analysis of electricity market dynamics and reforms. Its accident scale is: Unknown. Its dates are: 15-12-2022 01:14:00 PM. Its affected region is: Unknown. Its affected key users are: Unknown. Its cause type is: Analytical report release. Its causes are: The report addresses methods of market performance analysis, economic withholding, and recommendations for market reforms."
AER releases ‘June 2022 market events report’,Paul McArdle,15-12-2022 08:43:00 AM,"2022 - June - QLD (12th) and NSW, SA and VIC (13th) hit Cumulative Price Cap","The summary of the news ""AER releases ‘June 2022 market events report’"" posted at 15-12-2022 08:43:00 AM is: The Australian Energy Regulator (AER) released a comprehensive report analyzing the events in June 2022, when electricity markets were suspended across Queensland, New South Wales, South Australia, and Victoria due to cumulative price caps being hit. The investigation highlighted the potential recklessness of some generators withdrawing capacity, possibly breaching market rules. Despite the regulatory challenges, it noted cooperation between AEMO and generators. The report identified fuel constraints as a reasonable cause for capacity withdrawals, mitigating accusations of market gaming. Compliance issues, particularly in PASA submissions and rebidding practices, were noted, with investigations ongoing for one generator. Its relevance level is: Level 2 (Relevant). Its category is: market reactions. Its timeframe of the event impact on the electricity market is: June 2022. Its root cause is: Generator behavior and market operational issues during extreme price conditions. Its accident scale is: Unknown. Its dates are: 12th June 2022 for QLD and 13th June 2022 for NSW, SA, and VIC. Its affected region is: Queensland, New South Wales, South Australia, and Victoria. Its affected key users are: Electricity consumers and market participants within the National Electricity Market. Its cause type is: Operational and market behavior. Its causes (a summarized list of cause events) are: Generator capacity withdrawal, potential recklessness in market participation, fuel constraints, and compliance issues in market operations."
