title,author,date,topic,classified_content
Bottom falls out of electricity demand in VIC on Christmas Day 2020,Paul McArdle,28-12-2020 11:42:00 AM,Summer 2020-21 in the NEM,"The summary of the news ""Bottom falls out of electricity demand in VIC on Christmas Day 2020"" posted at 28-12-2020 11:42:00 AM is: On Christmas Day 2020, electricity demand in Victoria (VIC) experienced a significant drop, with NEMwatch v10 showing a low demand of 2,259MW in the 12:50 dispatch interval and AEMO data indicating an Operational Demand as low as 2,529MW by the half-hour ending 13:00. This reduction in demand was attributed to the strong performance of rooftop PV, which led to a decrease in load from VIC brown coal units. Its relevance level is: Level 2. Its category is: Market reactions. Its timeframe of the event impact on the electricity_market is: Short-term (during Christmas Day 2020). Its root_cause is: High levels of rooftop PV generation and low underlying demand. Its accident scale is: Unknown. Its dates are: 25-12-2020 (Christmas Day 2020). Its affected region is: Victoria (VIC). Its affected key users are: Electricity market participants in VIC. Its cause type is: Market-driven. Its causes are: Strong rooftop PV generation, reduced brown coal unit load, low operational demand."
Temperature Alert!,Paul McArdle,24-12-2020 03:56:00 PM,Summer 2020-21 in the NEM,"The summary of the news ""Temperature Alert!"" posted at 24-12-2020 03:56:00 PM is: The article discusses the challenges and developments in the National Electricity Market (NEM) during the summer of 2020-21, highlighting the impacts of extreme temperatures and the La Nina weather pattern on both electricity consumption and supply. The piece covers how high temperatures increase electricity demand due to cooling needs but also lead to operational challenges for grid management. It also details new measures by AEMO to provide more localized temperature alerts, aiming to improve generation plant readiness and grid stability under high temperatures. Additionally, it highlights the importance of preparing for summer conditions, referencing recent educational efforts and resources by AEMO and industry bodies. Its relevance level is: Level 1. Its category is: Extreme weather. Its timeframe of the event impact on the electricity market is: Summer 2020-21. Its root cause is: Extreme weather conditions and temperature fluctuations impacting electricity consumption and grid operations. Its accident scale is: Unknown. Its dates are: 24th December 2020. Its affected region is: National Electricity Market (NEM), particularly South Australia, Victoria, and Queensland. Its affected key users are: Power generators and grid operators. Its cause type is: Natural and operational. Its causes are: High temperatures causing increased electricity demand, grid stress, and local temperature effects on generation assets leading to operational challenges."
How aggregate production from Wind and Large Solar in NSW dropped last week – one factor contributing to price spikes and Reserve Trader,Paul McArdle,21-12-2020 09:45:00 AM,Energy Transition,"The summary of the news ""How aggregate production from Wind and Large Solar in NSW dropped last week – one factor contributing to price spikes and Reserve Trader"" posted at 21-12-2020 09:45:00 AM is: The article discusses the price volatility experienced in the New South Wales (NSW) region of the National Electricity Market during the week of December 14, 2020. The volatility was attributed to multiple factors, notably the significantly reduced production from wind and large solar plants in NSW on several days compared to previous levels, particularly from December 15 to December 17. A critical event was on Thursday, December 17, when a transformer issue at Liddell unit 3 caused a long-term outage and the Reserve Trader was triggered due to system stress. Other contributing factors include transmission constraints within NSW, demand fluctuations, and constraints on interconnections to other regions. Despite only moderate levels of demand, the discrepancies between forecast and actual conditions led to significant price spikes at various times throughout the week. Its relevance level is: Level 1. Its category is: Grid/system instability. Its timeframe of the event impact on the electricity_market is: Short-term (during the week of the event). Its root_cause is: Reduced wind and solar output, transformer failure at Liddell unit 3. Its accident scale is: Unknown. Its dates are: Monday 14th December 2020 to Friday 18th December 2020. Its affected region is: New South Wales, Australia. Its affected key users are: Electricity consumers in the NSW region. Its cause type is: Technical/Operational. Its causes are: Transformer failure, reduced renewable energy output, transmission and interconnector constraints, unexpected demand levels."
What’s up with the fleet of 16 x coal-fired units in NSW?,Paul McArdle,21-12-2020 09:08:00 AM,Energy Transition,"The summary of the news ""What’s up with the fleet of 16 x coal-fired units in NSW?"" posted at 21-12-2020 09:08:00 AM is: The article discusses the price volatility experienced in the New South Wales region of the National Electricity Market during mid-December 2020. Contributing factors include a transformer failure at Liddell unit 3, reduced performance of wind and solar production, transmission constraints within NSW and between NSW and Queensland, and unexpected demand spikes. Liddell, Bayswater, and other NSW coal units faced outages, with some being planned but unexpectedly extended, while others were forced. These events, combined with other systemic factors, led to significant price excursions in the electricity market. Its relevance level is: Level 1. Its category is: Turbine/generator failures. Its timeframe of the event impact on the electricity_market is: Short-term, especially concentrated in mid-December 2020. Its root_cause is: Transformer failure and reduced availability of coal-fired units. Its accident scale is: Regional impact. Its dates are: 14th December - 18th December 2020. Its affected region is: New South Wales (NSW), Australia. Its affected key users are: Electricity consumers in NSW, including residential, commercial, and industrial sectors. Its cause type is: Technical and operational constraints. Its causes are: Transformer issue at Liddell unit, lower wind and solar output, transmission constraints, and unexpected demand spikes."
Liddell unit 3 out till perhaps March 2021 after transformer incident (serious injury to one person),Paul McArdle,18-12-2020 11:27:00 AM,Summer 2020-21 in the NEM,"The summary of the news ""Liddell unit 3 out till perhaps March 2021 after transformer incident (serious injury to one person)"" posted at 18-12-2020 11:27:00 AM is: A transformer incident at AGL's Liddell Power Station resulted in a significant outage of Unit 3, leading to its unavailability potentially until March 2021. This occurrence has also caused serious injury to one individual, who is receiving medical attention. The event has contributed to price volatility in the NSW electricity market and triggered the Reliability and Emergency Reserve Trader (RERT) mechanism, highlighting the impact on power supplies during the summer period. Its relevance level is: Level 1. Its category is: Turbine/generator failures. The timeframe of the event impact on the electricity market is: Up to two and a half months, until March 2021. The root cause is: Transformer incident. Its accident scale is: Unknown. Its dates are: 18-12-2020. Its affected region is: New South Wales (NSW), Australia. Its affected key users are: Unknown. Its cause type is: Equipment failure. Its causes are: Transformer failure at Liddell Power Station's Unit 3, leading to a trip and subsequent outage."
Increasing the transparency and correctness of intermittent generation availability information to AEMO,Marcelle Gannon,18-12-2020 09:32:00 AM,2023-08-07 SemiSched MaxAvail,"The summary of the news ""Increasing the transparency and correctness of intermittent generation availability information to AEMO"" posted at 18-12-2020 09:32:00 AM is: The article discusses the challenges and importance of improving the transparency and accuracy of intermittent generation availability information in the National Electricity Market (NEM). It highlights the need for reliable and consistent plant availability data from wind and solar farm operators to enhance forecasting processes and maintain power system security. Transparency and traceability in data submission are essential for market efficiency and planning. The article emphasizes the necessity for cooperation between AEMO and market participants and suggests improvements such as more useable systems and better communication surrounding complex situations like extreme weather and distribution network limits.; Its relevance level is: Level 1. Its category is: Extreme weather. Its timeframe of the event impact on the electricity_market is: Ongoing, with long-term implications on market efficiency and planning. Its root_cause is: Inadequate and inconsistent data submission from market participants affecting forecasting accuracy. Its accident scale is: Unknown. Its dates are: 18-12-2020. Its affected region is: Regions within the National Electricity Market, especially those depending on intermittent generation. Its affected key users are: Wind and solar farm operators, AEMO, and potentially electricity market participants. Its cause type is: Operational and data management issues. Its causes (a summarized list of cause events) are: Inaccurate plant availability information submission, extreme weather conditions, distribution network limits, and complexities in handling inverter-limit constraints."
Price volatility (third day in a row) … and Reserve Trader dispatched in NSW,Paul McArdle,17-12-2020 03:32:00 PM,Summer 2020-21 in the NEM,"The summary of the news ""Price volatility (third day in a row) … and Reserve Trader dispatched in NSW"" posted at 17-12-2020 03:32:00 PM is: The article discusses a significant period of price volatility in the New South Wales (NSW) electricity market, highlighting a dispatch price spike on December 17, 2020. AEMO responded by dispatching the Reserve Trader services due to an LOR1-level Low Reserve Condition warning, attributed to several factors, including multiple offline coal units due to delayed maintenance and reduced output from wind and solar sources. Additionally, constraints affected electricity flow between VIC and NSW due to transmission line issues.; Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. The timeframe of the event impact on the electricity_market is: Short-term impact. Its root_cause is: Offline coal units, reduced renewable generation, and transmission constraints. Its accident scale is: Unknown. Its dates are: 17-12-2020. Its affected region is: New South Wales (NSW), Australia. Its affected key users are: Unknown. Its cause type is: Multiple operational issues. Its causes are: Offline coal units due to maintenance, lower wind and solar output, and transmission line constraints between VIC and NSW."
Wind and solar transactions: What to buy in the new-year sales,Ben Willacy,16-12-2020 03:17:00 PM,Areas of deeper analysis,"The summary of the news ""Wind and solar transactions: What to buy in the new-year sales"" posted on 16-12-2020 03:17:00 PM is: The article explores the current landscape of investment opportunities in Australia’s renewable energy market, particularly focusing on wind and solar energy assets. It identifies a substantial amount of capacity, approximately 5 GW, up for sale publicly, with a potential for an additional 8.5 GW below the surface. Driven by low capital costs and institutional capacity, long-term ownership consolidation may emerge as investors debate the NEM's market risk. Wind assets are favored over solar due to higher dispatch weighted prices and less need for firming. Tilt Renewables and Clarke Creek wind farms are highlighted as promising opportunities. Various market factors, including construction delays and suppressed daytime prices, dictate the urgent need for strategic investment selection. Its relevance level is: Level 3. Its category is: Energy policy. The timeframe of the event impact on the electricity market is: Long-term. Its root cause is: Market dynamics and investment strategies in the renewable energy sector. Its accident scale is: Unknown. Its dates are: 16-12-2020 03:17:00 PM. Its affected region is: Australia. Its affected key users are: Investors and renewable energy developers. Its cause type is: Economic and strategic. Its causes are: Increased capacity availability in the renewable energy market, strategic sales by asset owners, and market-driven investment consolidation in wind and solar sectors."
More price volatility in (QLD and) NSW on Wednesday 16th December 2020,Paul McArdle,16-12-2020 02:46:00 PM,Summer 2020-21 in the NEM,"The summary of the news ""More price volatility in (QLD and) NSW on Wednesday 16th December 2020"" posted at 16-12-2020 02:46:00 PM is: The article discusses a series of electricity price spikes in the New South Wales (NSW) and Queensland (QLD) regions of the National Electricity Market (NEM) on December 15th and 16th, 2020. Factors contributing to the price volatility include ongoing maintenance of coal units delayed by COVID restrictions, a trip of the Eraring unit 3, and reduced output from the TUMUT3 unit. Additionally, the limited performance of wind and solar farms, some still in early commissioning stages, and a constraint on the QNI interconnector further exacerbated price increases. Notably, these constraints led to exceptionally high trading prices, such as $4,332.76/MWh for the half-hour ending 13:30, and $1,889.89/MWh for the half-hour ending 14:00 on December 16th, 2020. Its relevance level is: Level 1. Its category is: Grid/system instability. The timeframe of the event impact on the electricity market is: Immediate to short-term. Its root cause is: Limited coal-fired unit availability, interconnector constraints, and reduced renewable performance. Its accident scale is: Unknown. Its dates are: 15-12-2020 and 16-12-2020. Its affected region is: New South Wales (NSW) and Queensland (QLD). Its affected key users are: Energy consumers and market participants in NSW and QLD. Its cause type is: Mixed (including operational constraints, technical failures, and underperformance of renewables). Its causes are: Coal unit maintenance delays, Eraring unit 3 trip, TUMUT3 constrained output, QNI interconnector constraint, reduced wind and solar output."
Short price spike in NSW on Tuesday 15th December 2020,Paul McArdle,15-12-2020 03:40:00 PM,Summer 2020-21 in the NEM,"The summary of the news ""Short price spike in NSW on Tuesday 15th December 2020"" posted at 15-12-2020 03:40:00 PM is: The occurrence of a price spike in the New South Wales electricity market on 15th December 2020 was primarily influenced by a series of events, including the trip of Eraring Unit 3 at a low load of 285MW to 0MW, unexpected maintenance catch-ups on coal units, and constraint issues affecting TUMUT3 due to a network outage, leading to the temporary spike in dispatch prices reaching $3,120.26/MWh at 12:50 PM. These conditions, though part of a complex interconnected system, underscore the challenges in electricity supply management and grid stability during the summer of 2020-2021. Its relevance level is: Level 1. Its category is: turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: Immediate (on the date of 15th December 2020). Its root_cause is: The trip of Eraring Unit 3 and subsequent network constraints. Its accident scale is: Unknown. Its dates are: 15-12-2020. Its affected region is: New South Wales (NSW), Australia. Its affected key users are: Unknown. Its cause type is: Equipment failure and network constraint issues. Its causes are: Eraring Unit 3 trip, delayed maintenance on coal units, network outage leading to constraints on TUMUT3."
