title,author,date,topic,classified_content
Full Disclosure 5 – a founding shareholder of Overwatch Energy,Paul McArdle,31-12-2019 08:00:00 PM,Full disclosure,"The summary of the news ""Full Disclosure 5 – a founding shareholder of Overwatch Energy"" posted at 31-12-2019 08:00:00 PM is: The article discusses the formation of Overwatch Energy Pty Ltd, a company created in mid-2019 to act as an operations specialist in support of the energy transition within Australia’s National Electricity Market. Global-Roam Pty Ltd, among others, became foundational investors in this new venture. The company was officially incorporated on June 6, 2019, according to ASIC records. This involvement was further mentioned in Global-Roam Pty Ltd's 2020 Annual Company Update. Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity market is: Long-term. Its root cause is: Establishment of a new company for energy sector support. Its accident scale is: Unknown. Its dates are: 06-06-2019, 30-12-2020. Its affected region is: Australia. Its affected key users are: Unknown. Its cause type is: Business formation and investment. Its causes are: Establishment of Overwatch Energy Pty Ltd and foundational investment by Global-Roam Pty Ltd."
"Another LOR2 (and RERT Negotiations), out of the blue…",Paul McArdle,30-12-2019 03:56:00 PM,Summer 2019-20 in the NEM,"The summary of the news ""Another LOR2 (and RERT Negotiations), out of the blue…"" posted at 30-12-2019 03:56:00 PM is: The National Electricity Market (NEM) experienced an unexpected Low Reserve Condition (LOR2) triggered by an unplanned outage on the Lower Tumut to Wagga 330 kV line in the NSW region on December 30, 2019. This outage contributed to price volatility and prompted the Australian Energy Market Operator (AEMO) to issue multiple market notices and intervene by dispatching Reserve Trader (RERT) to maintain system reliability. The situation was exacerbated by forecasted extreme temperatures and reduced renewable energy production in Victoria, leading to tight supply-demand conditions and high prices in dispatch intervals, particularly in VIC and SA regions. AEMO's intervention aimed to stabilize the market until 23:00 hrs (NEM time). Its relevance level is: Level 1. Its category is: Grid/system instability. Its timeframe of the event impact on the electricity market is: Immediate and forecasted until 23:00 hrs on 30/12/2019. Its root cause is: Unplanned outage of the 330 kV transmission line. Its accident scale is: Unknown. Its dates are: 30-12-2019. Its affected region is: NSW, VIC, SA in the NEM. Its affected key users are: Market participants within the regions of New South Wales, Victoria, and South Australia. Its cause type is: Technical failure and weather conditions. Its causes are: Unplanned 330 kV line outage, extreme heat, reduced renewable energy production."
Return-to-service of Loy Yang A2 hits a snag,Paul McArdle,30-12-2019 09:23:00 AM,Summer 2019-20 in the NEM,"The summary of the news ""Return-to-service of Loy Yang A2 hits a snag"" posted at 30-12-2019 09:23:00 AM is: The Loy Yang A2 unit, critical to Victoria's electricity supply during the summer peak, had returned to service on the 24th of December but encountered a ""plant failure"" on the 27th of December, causing it to go offline and remain so as of December 30th. This occurrence coincides with extreme weather forecasts for Victoria, raising concerns about electricity demand and non-scheduled generation, although significant impacts on the region's power supply are not anticipated immediately. However, the incident highlights the importance of stable generation units during high-demand periods. Its relevance level is: Level 1. Its category is: Turbine/generator failures. Its timeframe of the event impact on the electricity market is: Short-term, due to current high demand conditions. Its root cause is: Turbine/generator failure. Its accident scale is: Unknown. Its dates are: 27-12-2019 (when the plant failure was noted). Its affected region is: Victoria, Australia. Its affected key users are: Electricity consumers in the National Electricity Market, with a focus on Victoria due to high demand. Its cause type is: Technical failure. Its causes are: Return-to-service issues, plant failure, and extreme weather conditions forecasted for the region."
Mortlake Unit 2 (offline since July) up close to full load on Friday morning 27th December 2019,Paul McArdle,27-12-2019 11:58:00 AM,Summer 2019-20 in the NEM,"The summary of the news ""Mortlake Unit 2 (offline since July) up close to full load on Friday morning 27th December 2019"" posted at 27-12-2019 11:58:00 AM is: The article discusses the recent return to service of Mortlake Unit 2, which had been offline since July. The unit returned to near full load operation ahead of the scheduled return date of December 30th, showing significant activity since December 20th. This comes as part of broader power generation dynamics in Victoria, Australia, amidst forecasted extreme weather conditions and high demand periods that could impact electricity supply and prices in the region. The news also highlights forecasts of extreme temperatures in New South Wales and Victoria, predicting challenging conditions for energy supply into early 2020; Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/System Instability. Its Timeframe of the event impact on the electricity market is: Short-term, particularly impacting Q1 2020. Its root cause is: The restart of a major power unit (Mortlake Unit 2) amid other power generation activities and forecasted extreme weather. Its accident scale is: Unknown. Its dates are: 27-12-2019. Its affected region is: Victoria, Australia. Its affected key users are: Power consumers in Victoria, particularly during peak demand periods. Its cause type is: Operational/technical and weather-related factors. Its causes are: Delayed restart of Mortlake Unit 2, forecast extreme temperatures, and high demand projections."
"Out of the blue, an LOR2",Allan O'Neil,24-12-2019 03:44:00 PM,Summer 2019-20 in the NEM,"The summary of the news ""Out of the blue, an LOR2"" posted at 24-12-2019 03:44:00 PM is: The article discusses an unexpected declaration of Actual LOR2 (Lack of Reserve condition) in Victoria by AEMO, attributed to extreme temperatures, high demand, and falling outputs from windfarms. Despite forecasts showing sufficient windfarm output, the actual conditions led to a disparity that caused system strain and the need for potential interventions. The unforeseen declaration highlights the challenges in forecast accuracy under extreme weather conditions. AEMO's reliance on persistence forecasting rather than energy conversion models may have contributed to the forecasting disconnect, indicating a need for improved forecast reliability. Fortunately, this condition did not escalate to LOR3 due to the absence of further contingencies. Its relevance level is: Level 1. Its category is: Extreme weather. Its timeframe of the event impact on the electricity_market is: Immediate (same day impact). Its root_cause is: Extreme temperatures and unexpected low windfarm outputs. Its accident scale is: Regional. Its dates are: 24-12-2019. Its affected region is: Victoria. Its affected key users are: Electricity consumers in Victoria and South Australia. Its cause type is: Weather and system-related. Its causes are: Extreme temperatures, high electricity demand, windfarm output reduction, and forecast inaccuracies."
Limondale Solar Farm starts up – only the first 29MW component of a bigger planned station?,Paul McArdle,24-12-2019 12:57:00 PM,Summer 2019-20 in the NEM,"The summary of the news ""Limondale Solar Farm starts up – only the first 29MW component of a bigger planned station?"" posted at 24-12-2019 12:57:00 PM is: The Limondale Solar Farm has initiated operations with its first 29MW component, marking the initial phase of what is projected to become a larger solar plant totaling up to 349MW. Full commercial operation is anticipated by mid-2020, signifying the potential for expanded renewable energy capabilities in the region.; Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Short-term with potential long-term impact as the full capacity is reached. Its root_cause is: Expansion in renewable energy infrastructure. Its accident scale is: Unknown. Its dates are: 24-12-2019 (the date of the news article; commissioning to complete by mid-2020). Its affected region is: Presumably the area surrounding the Limondale Solar Farm in New South Wales, Australia. Its affected key users are: Unknown, though it may involve energy consumers and grid operators upon full operation. Its cause type is: Infrastructure development. Its causes are: The commissioning of the Limondale Solar Farm's initial component as part of a larger scale renewable energy project."
Loy Yang A2 returns to service on Tuesday 24th December 2019,Paul McArdle,24-12-2019 11:57:00 AM,Summer 2019-20 in the NEM,"The summary of the news ""Loy Yang A2 returns to service on Tuesday 24th December 2019"" posted at 24-12-2019 11:57:00 AM is: Loy Yang A2 power station has returned to service on December 24, 2019, providing 80MW at the 11:00 dispatch interval, just in time to meet the upcoming heatwave affecting the southern half of the National Electricity Market (NEM). This return is crucial given the increased demand anticipated due to extreme weather conditions. Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Its timeframe of the event impact on the electricity_market is: Short-term. Its root_cause is: Increased demand due to heatwave conditions. Its accident scale is: Unknown. Its dates are: 24-12-2019. Its affected region is: Southern half of the NEM. Its affected key users are: Unknown. Its cause type is: Environmental/external demand. Its causes are: High temperatures increasing electricity demand."
AEMO speaks directly to Wind and Solar Farm operators – please alert us to temperature limitations on your assets,Paul McArdle,23-12-2019 05:34:00 PM,Energy Transition,"The summary of the news ""AEMO speaks directly to Wind and Solar Farm operators – please alert us to temperature limitations on your assets"" posted at 23-12-2019 05:34:00 PM is: The Australian Energy Market Operator (AEMO) has issued a notice to wind and solar farm operators within the National Electricity Market (NEM) regarding the impact of extreme high temperatures on power generation assets. AEMO highlights the importance of updating capacity constraints in response to temperature derating via SCADA systems or direct communication with AEMO. This notice is crucial following an unexpected announcement of Low Reserve Condition (LOR2) in Victoria due to high temperature limitations affecting generation capacity. AEMO stresses that non-responsive operators to these requirements could face scrutiny and potential enforcement action from the Australian Energy Regulator (AER).; Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Timeframe of the event impact on the electricity market is: Immediate and ongoing throughout the high-temperature season. Root cause is: High ambient temperature impacting generation assets. Accident scale is: Unknown. Dates are: 23rd December 2019. Affected region is: NEM regions, specifically noted was Victoria. Affected key users are: Semi-scheduled and intermittent non-scheduled generators. Cause type is: Environmental and operational. Causes are: Extreme high temperatures leading to reduced generation capacity and insufficient responsiveness from some operators to notify AEMO of limitations."
What happened yesterday (Fri 20th Dec 2019) in the Victorian Region? A first look…,Paul McArdle,21-12-2019 08:43:00 PM,Areas of deeper analysis,"The summary of the news ""What happened yesterday (Fri 20th Dec 2019) in the Victorian Region? A first look…"" posted at 21-12-2019 08:43:00 PM is: On December 20, 2019, the Victorian region of the National Electricity Market (NEM) faced significant challenges due to extreme weather conditions and high electricity demand. Temperatures exceeding 40°C drove operational demand past 9,000MW, necessitating imports from South Australia, Tasmania, and New South Wales to meet demand. Technical issues such as Loy Yang A2 not returning to service exacerbated the situation. Consequently, dispatch prices in Victoria spiked dramatically to $14,499.99/MWh at 17:20 and $11,500.80/MWh at 17:35. The unexpected onset of an LOR2 condition necessitated the AEMO's Reserve Trader negotiations. The discrepancy between forecast and actual energy from wind farms highlighted significant challenges in managing energy supply. Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather and grid/system instability. The timeframe of the event impact on the electricity market is: December 20, 2019. Its root cause is: Extreme temperatures and high electricity demand. Its accident scale is: Several hours of high electricity prices and demand exceeding local generation capacity. Its dates are: 20-12-2019. Its affected region is: Victoria, Australia. Its affected key users are: Electricity consumers in Victoria, including businesses reliant on stable electricity supplies. Its cause type is: Environmental and operational. Its causes are: Extreme temperatures, high demand, delayed return of Loy Yang A2, grid strain, and forecast inaccuracies in wind energy output."
Not-So-Quick review of price spike in South Australian region yesterday (Thu 19th Dec) evening,Paul McArdle,20-12-2019 01:55:00 PM,Areas of deeper analysis,"The summary of the news ""Not-So-Quick review of price spike in South Australian region yesterday (Thu 19th Dec) evening"" posted at 20-12-2019 01:55:00 PM is: The South Australian region experienced significant electricity price spikes on the evening of December 19th, 2019, reaching the Market Price Cap in several dispatch intervals due to extreme heat driving higher electricity demand, maxed out imports from Victoria, and limited local generation options. The high demand and limited generating capacity pushed prices over $1,000/MWh for 17 dispatch intervals. Contributing factors included the decline of solar power generation during sunset, insufficient wind generation, and reduced availability of some gas and peaking plants. Battery storage systems performed variably, with differing capabilities to sustain output during the high-price period. The key issue contrasting the South Australian market conditions with those in Victoria the previous day was the inability to lean on interconnector capacity effectively. Its relevance level is: Level 1. Its category is: Extreme weather. Its timeframe of the event impact on the electricity_market is: Immediate (spanning the specific evening of December 19th, 2019). Its root_cause is: Extreme high temperatures and demand surpassing grid capacity with inadequate generation and interconnectivity reserves. Its accident scale is: Unknown (as it primarily discusses financial and operational impact). Its dates are: 19-12-2019. Its affected region is: South Australia. Its affected key users are: Electricity consumers and market participants in the South Australian region. Its cause type is: Weather-related high demand and system limitations. Its causes are: Extreme heat increasing electricity demand, reduced solar and wind generation in the evening, maxed out and reduced import capacity from Victoria, and limited costly local generation options."
