title,author,date,topic,classified_content
Price volatility in South Australia Thursday evening 30th December 2021,Paul McArdle,31/12/2021 11:34,Summer 2021-22 in the NEM,"The summary of the news ""Price volatility in South Australia Thursday evening 30th December 2021"" posted at 31-12-2021 11:34:00 AM is: The article reports a significant price spike in the South Australian electricity market on the evening of December 30th, 2021, where prices soared above $100/MWh, reaching a peak of $13,001.39/MWh. The volatility was attributed to high demand levels in South Australia, which were uncharacteristic for the year, and a heavily fossil fuel-dependent energy mix with minimal contributions from wind and solar power. The limited activity of battery storage and the resultant rebidding by multiple energy providers further exacerbated the situation. Its relevance level is: Level 2 (Relevant). Its category is: Market reactions. Its timeframe of the event impact on the electricity_market is: Immediate. Its root_cause is: High market demand and limited renewable energy supply. Its accident scale is: Unknown. Its dates are: 30-12-2021. Its affected region is: South Australia. Its affected key users are: Energy consumers in South Australia. Its cause type is: Supply and demand imbalance. Its causes are: High market demand, low renewable energy input, limited battery activity, rebidding by energy providers."
Price volatility in South Australia on Thursday 30th December (2nd day in a row) – and High Temperature alerts broadened,Paul McArdle,30/12/2021 15:07,Summer 2021-22 in the NEM,"The summary of the news ""Price volatility in South Australia on Thursday 30th December (2nd day in a row) – and High Temperature alerts broadened"" posted at 30-12-2021 03:07:00 PM is: The article discusses a second consecutive day of electricity price spikes in South Australia, driven by a combination of high temperatures and reduced wind generation. The constraint on imports from Victoria, due to transient stability limits, exacerbates the situation, as market demand increases in response to rising temperatures. Additionally, a high temperature warning has been issued for several regions including South Australia, indicating potential further impacts on electricity demand and prices. Its relevance level is: Level 1 (Most Relevant). Its category is: Extreme weather. Its timeframe of the event impact on the electricity market is: Immediate to short-term effects spanning several days as high temperatures persist. Its root cause is: Extreme weather conditions, specifically unseasonably high temperatures affecting supply and demand dynamics. Its accident scale is: Unknown. Its dates are: 30-12-2021 to 03-01-2022. Its affected region is: South Australia, with broader temperature alerts for Queensland, Tasmania, and Victoria. Its affected key users are: Unknown. Its cause type is: Natural. Its causes are: High temperatures leading to increased electricity demand, constraint on inter-regional imports, reduced wind generation, and ongoing high levels of gas and liquid fuel electricity generation."
"How should the AER’s wholesale monitoring responsibilities change, to suit the changing market environment?",Paul McArdle,30/12/2021 13:02,Market Reform,"The summary of the news ""How should the AER’s wholesale monitoring responsibilities change, to suit the changing market environment?"" posted at 30-12-2021 01:02:00 PM is: The article discusses a Rule Change Request submitted by the Australian Energy Regulator (AER) to the Australian Energy Market Commission (AEMC) to reform the reporting framework for monitoring significant price events in the National Electricity Market (NEM). The AER seeks a shift from the current prescriptive requirements under clause 3.13.7 of the National Electricity Rules to a more flexible, principles-based approach. This change aims to enhance their ability to analyze and report on wholesale market outcomes more insightfully, given the rapidly evolving market conditions, such as technological changes and behavioral trends among market participants. The AER believes the new framework will allow for more holistic and adaptive reporting, ultimately supporting the National Electricity Objective. Its relevance level is: Level 3. Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Unknown. Its root_cause is: The inadequacy of current AER reporting requirements to address evolving market dynamics. Its accident scale is: Unknown. Its dates are: 30-12-2021 01:02:00 PM. Its affected region is: National Electricity Market (NEM), primarily Queensland. Its affected key users are: Wholesale electricity market stakeholders and policymakers. Its cause type is: Policy inadequacy. Its causes (a summarized list of cause events) are: Inflexibility of current rules, rapid market changes, and need for a more adaptive and insightful reporting framework."
AEMO publishes (draft of) High Level Design for IESS (submissions due Fri 11th Feb 2022),Paul McArdle,30/12/2021 12:00,2024-06 IESS Rule Change implementation,"The summary of the news ""AEMO publishes (draft of) High Level Design for IESS (submissions due Fri 11th Feb 2022)"" posted at 30-12-2021 12:00:00 PM is: The Australian Energy Market Operator (AEMO) released a draft of the High-Level Design for implementing the Integrating Energy Storage Systems (IESS) rule change into the National Electricity Market (NEM), following the Australian Energy Market Commission's (AEMC) Final Determination on this reform. The implementation will be completed in two phases: a 'baseline' release on 31st March 2023, allowing new registration and dispatch models, and a 'final' release on 3rd June 2024, which will fully implement the IESS rule changes including hybrid systems' aggregate dispatch. AEMO is seeking stakeholder feedback by 11th February 2022 to refine these proposals. Its relevance level is: Level 3 (Less Relevant). Its category is: Energy policy. Its timeframe of the event impact on the electricity market is: Medium to long-term (spanning until June 2024). Its root cause is: Implementation of energy market reform. Its accident scale is: Unknown. Its dates are: 31st March 2023 and 3rd June 2024. Its affected region is: National Electricity Market (Australia). Its affected key users are: Market participants, including aggregators, hybrid system operators, and stakeholders in the energy market. Its cause type is: Regulatory change. Its causes are: Integration of energy storage systems into the NEM, changes to registration and dispatch models, allowance of aggregate dispatch conformance and ancillary services provision by aggregators."
Callide C4 updated RTS expectations on 5th November 2021 (now not expected back online until 7th April 2023),Paul McArdle,30/12/2021 11:22,"2021 - 25th May - Callide C4 Explosion, Fire and Outage","The summary of the news ""Callide C4 updated RTS expectations on 5th November 2021 (now not expected back online until 7th April 2023)"" posted at 30-12-2021 11:22:00 AM is: An update on the expected return to service (RTS) of the damaged Callide C4 unit was published on 5th November 2021, indicating that the unit is not expected to be back online until 7th April 2023. This news came about eight weeks after an earlier update in September, highlighting issues such as the delayed dissemination of this information and a call out to the lack of coverage for Semi-Scheduled plants under the current system. This delay in RTS will potentially influence electricity pricing due to the extended outage period. Its relevance level is: Level 1. Its category is: Turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: Until 7th April 2023. Its root_cause is: The explosion, fire, and outage of the Callide C4 unit in May 2021. Its accident scale is: Unknown. Its dates are: 30-12-2021 and 5th November 2021. Its affected region is: Unknown. Its affected key users are: Unknown. Its cause type is: Operational failure. Its causes are: Explosion, fire, and outage of Callide C4 unit."
"Price spikes in South Australia above $9,000/MWh – due to unforecast cloud cover?!",Paul McArdle,29/12/2021 22:31,Summer 2021-22 in the NEM,"The summary of the news ""Price spikes in South Australia above $9,000/MWh – due to unforecast cloud cover?!"" posted at 29-12-2021 10:31:00 PM is: The article discusses a significant electricity price spike in South Australia, where prices soared from near $0/MWh to above $9,000/MWh on December 29, 2021. This unexpected surge was linked to unforeseen cloud cover impacting solar output, resulting in a drop in expected generation and highlighting both the volatility and challenges of balancing supply and demand in the electricity market. Understanding changes in renewable generation, particularly under varying weather conditions, exemplifies the potential for extreme price volatility. Its relevance level is: Level 1. Its category is: Grid/system instability. Its timeframe of the event impact on the electricity_market is: Short-term, immediate impact during the event on December 29, 2021. Its root_cause is: Unforeseen cloud cover negatively affecting solar generation output, leading to sudden supply-demand imbalances. Its accident scale is: Localized to South Australia. Its dates are: 29-12-2021. Its affected region is: South Australia. Its affected key users are: Electricity consumers and suppliers in South Australia. Its cause type is: Environmental/weather-related. Its causes are: Unforecast cloud cover leading to sudden drops in solar power generation, coupled with existing limited gas-fired generation and maximum import capacity from Victoria, contributing to the rapid escalation in electricity prices."
"‘Market Demand’ in Victoria moves a shade lower on Tuesday 28th December 2021 … but not quite, for Operational Demand",Paul McArdle,28/12/2021 19:33,Summer 2021-22 in the NEM,"The summary of the news ""'Market Demand' in Victoria moves a shade lower on Tuesday 28th December 2021 … but not quite, for Operational Demand"" posted at 28-12-2021 07:33:00 PM is: On December 28, 2021, Victoria experienced a slight dip in 'Market Demand' to 2,123MW, 21MW lower than the previous record on November 28, 2021. 'Operational Demand,' however, was at 2,389MW, 56MW higher than the November low. This period also saw negative electricity prices in Victoria and SA, but battery usage remained low, with transmission constraints affecting multiple generators. These factors indicate operational challenges rather than significant price changes in the NEM. Its relevance level is: Level 2 (Relevant). Its category is: Market reactions. Its timeframe of the event impact on the electricity market is: Short-term. Its root cause is: Low market demand and operational dynamics on that specific day. Its accident scale is: Unknown. Its dates are: 28-12-2021. Its affected region is: Victoria and South Australia. Its affected key users are: Unknown. Its cause type is: Operational. Its causes (a summarized list of cause events) are: Record low 'Market Demand', slightly higher 'Operational Demand', negative electricity prices, minimal battery usage, and transmission constraints."
David Leitch’s review of GenInsights21,David Leitch,23/12/2021 12:46,Areas of deeper analysis,"The summary of the news ""David Leitch’s review of GenInsights21"" posted at 23-12-2021 12:46:00 PM is: David Leitch provides an early review of the GenInsights21 publication, emphasizing its analysis of the National Electricity Market (NEM) and pointing out key challenges such as increasing variability, uncertainty, and complexity. Leitch highlights the importance of forecasting and market analysis, considering the influence of various state policies on price signals in the energy market. He also discusses the transition towards renewable energy sources and the role of innovative technologies in managing grid services, supporting the findings with examples from the report's sections and appendices.; Its relevance level is: Level 3. Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Long-term. Its root_cause is: Analysis of market dynamics and future trends in electricity generation and policy. Its accident scale is: Unknown. Its dates are: 23-12-2021. Its affected region is: National Electricity Market (NEM) regions in Australia. Its affected key users are: Market participants, policy makers, and energy analysts. Its cause type is: Analytical review. Its causes are: Increasing complexity and variability in the electricity market; reliance on forecasting; impact of renewable energy policies on price signals."
How many Negawatts have been dispatched through the WDRM since its introduction?,Dan Lee,23/12/2021 11:42,Spring 2021 in the NEM,"The summary of the news ""How many Negawatts have been dispatched through the WDRM since its introduction?"" posted at 23-12-2021 11:42:00 AM is: The article investigates the application of the Wholesale Demand Response Mechanism (WDRM) introduced in the National Electricity Market (NEM) on 24th October 2021, which allows large energy users to bid demand reductions, termed as ‘Negawatts.’ By December 22, 2021, only two out of the three registered units, managed by Enel X, have been dispatched once on November 12, 2021, indicating the early stages of the implementation of this rule change. Its relevance level is: Level 3. Its category is: Energy policy. Its timeframe of the event impact on the electricity_market is: Short-term, as it is still early in the implementation with limited immediate impact. Its root cause is: Implementation of the WDRM rule change in the NEM. Its accident scale is: Unknown. Its dates are: 24th October 2021 (rule change came into effect) and 12th November 2021 (first dispatch). Its affected region is: Victoria (VIC) and New South Wales (NSW). Its affected key users are: Large industrial energy users. Its cause type is: Regulatory change. Its causes are: Introduction and initial application stage of the WDRM in the NEM with limited dispatch occurrences."
Spot price volatility in QLD (and NSW) on Tuesday 21st December 2021,Paul McArdle,21/12/2021 19:00,Summer 2021-22 in the NEM,"The summary of the news ""Spot price volatility in QLD (and NSW) on Tuesday 21st December 2021"" posted at 21-12-2021 07:00:00 PM is: The article discusses spot price volatility in the Queensland (QLD) and New South Wales (NSW) regions on 21st December 2021, highlighting a significant price jump in NSW due to constrained imports from Victoria (VIC) and a substantial drop in solar generation, coinciding with an unexpected increase in battery charging. Prices in QLD and NSW, and potentially in VIC and South Australia (SA), are projected to remain high this evening. Its relevance level is: Level 2 (Relevant). Its category is: Market reactions. Its timeframe of the event impact on the electricity_market is: Immediate and short-term. Its root_cause is: Constrained imports from VIC and a drop in solar generation. Its accident scale is: Unknown. Its dates are: 21-12-2021. Its affected region is: QLD and NSW, with mentions of VIC and SA. Its affected key users are: Electricity consumers and market participants in QLD and NSW. Its cause type is: Market and resource availability. Its causes are: Constrained VIC imports and reduced solar production."
